id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input pressure,75,58,10,77,322,ship,baseline,monotonic-signal,raise-signal
m002,g002,state drift,55,27,31,100,213,ship,edge,drag-penalty,drop-slack
m003,g003,review cost,53,30,29,36,92,hold,recovery,confidence-floor,raise-drag
m004,g004,decision risk,99,64,19,76,338,ship,negative,lane-boundary,lower-confidence
m005,g005,input pressure,47,13,40,77,101,hold,baseline,monotonic-signal,raise-signal
m006,g006,state drift,99,49,10,75,357,ship,edge,drag-penalty,drop-slack
m007,g007,review cost,45,16,24,36,82,hold,recovery,confidence-floor,raise-drag
m008,g008,decision risk,109,67,22,8,213,ship,negative,lane-boundary,lower-confidence
m009,g009,input pressure,110,60,26,61,298,ship,baseline,monotonic-signal,raise-signal
m010,g010,state drift,56,48,9,85,294,ship,edge,drag-penalty,drop-slack
m011,g011,review cost,37,26,30,59,98,hold,recovery,confidence-floor,raise-drag
m012,g012,decision risk,75,12,10,37,196,ship,negative,lane-boundary,lower-confidence
m013,g013,input pressure,107,77,34,93,341,ship,baseline,monotonic-signal,raise-signal
m014,g014,state drift,113,31,19,33,247,ship,edge,drag-penalty,drop-slack
m015,g015,review cost,36,62,20,94,242,ship,recovery,confidence-floor,raise-drag
m016,g016,decision risk,45,75,11,30,181,ship,negative,lane-boundary,lower-confidence
m017,g017,input pressure,62,49,12,22,169,ship,baseline,monotonic-signal,raise-signal
m018,g018,state drift,104,27,35,59,213,ship,edge,drag-penalty,drop-slack
m019,g019,review cost,45,70,34,39,102,hold,recovery,confidence-floor,raise-drag
m020,g020,decision risk,63,19,45,63,91,hold,negative,lane-boundary,lower-confidence
m021,g021,input pressure,41,66,35,99,206,ship,baseline,monotonic-signal,raise-signal
m022,g022,state drift,108,11,10,35,257,ship,edge,drag-penalty,drop-slack
m023,g023,review cost,105,37,48,88,231,ship,recovery,confidence-floor,raise-drag
m024,g024,decision risk,63,12,37,63,116,watch,negative,lane-boundary,lower-confidence
m025,g025,input pressure,99,52,16,74,334,ship,baseline,monotonic-signal,raise-signal
m026,g026,state drift,107,14,7,35,270,ship,edge,drag-penalty,drop-slack
m027,g027,review cost,75,49,11,20,195,ship,recovery,confidence-floor,raise-drag
m028,g028,decision risk,62,63,25,47,181,ship,negative,lane-boundary,lower-confidence
m029,g029,input pressure,112,38,37,84,282,ship,baseline,monotonic-signal,raise-signal
m030,g030,state drift,83,52,44,58,158,watch,edge,drag-penalty,drop-slack
m031,g031,review cost,77,43,14,49,239,ship,recovery,confidence-floor,raise-drag
m032,g032,decision risk,107,35,11,79,363,ship,negative,lane-boundary,lower-confidence
m033,g033,input pressure,105,69,36,32,199,ship,baseline,monotonic-signal,raise-signal
m034,g034,state drift,94,7,8,93,349,ship,edge,drag-penalty,drop-slack
m035,g035,review cost,52,65,44,42,77,hold,recovery,confidence-floor,raise-drag
m036,g036,decision risk,79,21,19,8,119,watch,negative,lane-boundary,lower-confidence
m037,g037,input pressure,61,72,4,58,294,ship,baseline,monotonic-signal,raise-signal
m038,g038,state drift,86,54,40,38,142,watch,edge,drag-penalty,drop-slack
m039,g039,review cost,62,64,45,75,158,watch,recovery,confidence-floor,raise-drag
m040,g040,decision risk,54,31,39,85,153,watch,negative,lane-boundary,lower-confidence
m041,g041,input pressure,106,17,20,34,217,ship,baseline,monotonic-signal,raise-signal
m042,g042,state drift,78,1,12,87,283,ship,edge,drag-penalty,drop-slack
m043,g043,review cost,116,47,37,75,281,ship,recovery,confidence-floor,raise-drag
m044,g044,decision risk,51,67,20,60,209,ship,negative,lane-boundary,lower-confidence
m045,g045,input pressure,75,10,37,34,80,hold,baseline,monotonic-signal,raise-signal
m046,g046,state drift,77,43,26,105,303,ship,edge,drag-penalty,drop-slack
m047,g047,review cost,86,43,29,59,217,ship,recovery,confidence-floor,raise-drag
m048,g048,decision risk,94,75,43,70,231,ship,negative,lane-boundary,lower-confidence
m049,g049,input pressure,66,24,34,57,134,watch,baseline,monotonic-signal,raise-signal
m050,g050,state drift,86,60,31,48,204,ship,edge,drag-penalty,drop-slack
m051,g051,review cost,104,27,17,91,349,ship,recovery,confidence-floor,raise-drag
m052,g052,decision risk,73,42,22,18,136,watch,negative,lane-boundary,lower-confidence
m053,g053,input pressure,70,17,29,92,225,ship,baseline,monotonic-signal,raise-signal
m054,g054,state drift,58,46,34,41,108,hold,edge,drag-penalty,drop-slack
m055,g055,review cost,104,30,45,20,98,hold,recovery,confidence-floor,raise-drag
m056,g056,decision risk,43,54,21,44,144,watch,negative,lane-boundary,lower-confidence
m057,g057,input pressure,69,68,35,37,140,watch,baseline,monotonic-signal,raise-signal
m058,g058,state drift,116,32,22,74,324,ship,edge,drag-penalty,drop-slack
m059,g059,review cost,103,68,11,97,424,ship,recovery,confidence-floor,raise-drag
m060,g060,decision risk,56,48,31,20,76,hold,negative,lane-boundary,lower-confidence
m061,g061,input pressure,45,40,25,86,202,ship,baseline,monotonic-signal,raise-signal
m062,g062,state drift,30,63,23,74,179,ship,edge,drag-penalty,drop-slack
m063,g063,review cost,60,23,31,72,163,watch,recovery,confidence-floor,raise-drag
m064,g064,decision risk,49,70,5,20,188,ship,negative,lane-boundary,lower-confidence
m065,g065,input pressure,56,26,39,104,190,ship,baseline,monotonic-signal,raise-signal
m066,g066,state drift,93,66,15,58,308,ship,edge,drag-penalty,drop-slack
m067,g067,review cost,32,70,12,82,250,ship,recovery,confidence-floor,raise-drag
m068,g068,decision risk,93,69,22,43,253,ship,negative,lane-boundary,lower-confidence
m069,g069,input pressure,48,36,11,47,182,ship,baseline,monotonic-signal,raise-signal
m070,g070,state drift,103,11,7,90,369,ship,edge,drag-penalty,drop-slack
m071,g071,review cost,95,17,35,30,127,watch,recovery,confidence-floor,raise-drag
m072,g072,decision risk,50,52,19,78,232,ship,negative,lane-boundary,lower-confidence
m073,g073,input pressure,40,72,16,40,168,ship,baseline,monotonic-signal,raise-signal
m074,g074,state drift,69,4,37,105,204,ship,edge,drag-penalty,drop-slack
m075,g075,review cost,92,59,14,56,299,ship,recovery,confidence-floor,raise-drag
m076,g076,decision risk,107,48,14,23,252,ship,negative,lane-boundary,lower-confidence
m077,g077,input pressure,39,10,19,73,158,watch,baseline,monotonic-signal,raise-signal
m078,g078,state drift,39,18,23,96,196,ship,edge,drag-penalty,drop-slack
m079,g079,review cost,47,76,13,32,182,ship,recovery,confidence-floor,raise-drag
m080,g080,decision risk,98,32,20,72,292,ship,negative,lane-boundary,lower-confidence
m081,g081,input pressure,48,47,7,73,261,ship,baseline,monotonic-signal,raise-signal
m082,g082,state drift,57,11,31,71,143,watch,edge,drag-penalty,drop-slack
m083,g083,review cost,114,62,23,32,262,ship,recovery,confidence-floor,raise-drag
m084,g084,decision risk,102,35,10,90,379,ship,negative,lane-boundary,lower-confidence
m085,g085,input pressure,108,59,8,57,357,ship,baseline,monotonic-signal,raise-signal
m086,g086,state drift,57,62,9,81,302,ship,edge,drag-penalty,drop-slack
m087,g087,review cost,84,48,39,55,170,ship,recovery,confidence-floor,raise-drag
m088,g088,decision risk,101,73,24,33,245,ship,negative,lane-boundary,lower-confidence
m089,g089,input pressure,78,53,42,89,219,ship,baseline,monotonic-signal,raise-signal
m090,g090,state drift,56,34,32,29,76,hold,edge,drag-penalty,drop-slack
m091,g091,review cost,97,9,14,90,327,ship,recovery,confidence-floor,raise-drag
m092,g092,decision risk,77,28,38,26,82,hold,negative,lane-boundary,lower-confidence
m093,g093,input pressure,80,75,34,104,307,ship,baseline,monotonic-signal,raise-signal
m094,g094,state drift,101,20,13,55,280,ship,edge,drag-penalty,drop-slack
m095,g095,review cost,90,12,11,35,218,ship,recovery,confidence-floor,raise-drag
m096,g096,decision risk,88,75,43,59,197,ship,negative,lane-boundary,lower-confidence
